name,kcal,protein,carbs,fat,source
sweet potato boiled,76,1.4,17.7,0.1,USDA
tomato,18,0.9,3.9,0.2,USDA
onion,40,1.1,9.3,0.1,USDA
cucumber,15,0.7,3.6,0.1,USDA
chai with milk sugar,38,1.0,5.0,1.5,Indian Food 101
filter coffee,25,1.5,3.0,1.0,Indian Food 101
maggi cooked,110,3.0,15.0,4.5,Nestle India label
parle-g,456,7.0,76.0,14.0,Parle nutrition label
britannia good day,490,7.0,65.0,22.0,Britannia label
amul butter,720,0.6,0.4,80.0,Amul label
amul cheese,348,25.0,2.0,27.0,Amul label
